profile,dT,dL_real,dL_init_abl,dL_final_abl,dL_whole,dL_wtd_beta,dL_wtd_beta_whole,delta_b,tau,tau_wtd,tau_req_init,tau_req_wtd,tau_req_whole,tau_flux_exp,tau_vol_exp,tau_flux_per_vol_exp,tau_len_3st,tau_93pct,tau_mean_h,tau_max_h,beta_init_abl,beta_final_abl,beta_init_whole,beta_wtd,beta_wtd_whole
top_heavy,-1.0,3.975,3.2875525769046727,3.8895471606621617,2.549936566215057,3.6271769521759087,2.5085919642019956,0.6015195458801492,50.685670899760964,62.06957158656218,61.284355797663004,55.54610223956308,79.01198190416389,79.30160226819143,61.969282845374046,75.04991121167134,46.016511498640995,40.666666666666664,54.0074911397172,63.36885459525316,107.82954279159505,127.5745656349115,83.63622714786234,118.9689969142904,82.28015163950765
top_heavy,-0.75,3.975,2.467740669023702,3.160586527817219,1.9140628235379267,2.7477508009500298,1.96345980175162,0.45151954588014936,50.685670899760964,55.365968324833204,81.64372551604399,73.32380423904891,105.26067344756497,84.68496009340686,74.87291234582733,76.02057144278402,60.53778191356185,59.666666666666664,54.0074911397172,63.36885459525316,107.82954279159505,138.10389581277852,83.63622714786234,120.06476867316039,85.79466042366366
top_heavy,-0.5,2.65,1.64792876114273,2.0107630680932376,1.278189080860796,1.7695793151160735,1.302779150818463,0.3015195458801494,50.685670899760964,53.59707290448324,81.5065742230426,75.90336682679646,105.08384862270205,72.94042824219208,77.86342109662733,60.26391284266858,66.31191953832506,75.66666666666667,54.0074911397172,63.36885459525316,107.82954279159505,131.5710165434388,83.63622714786234,115.78954927039074,85.24523844936418
top_heavy,-0.25,1.2,0.8281168532617579,0.903174919978533,0.6423153381836653,0.8523758705608555,0.6456354711958867,0.15151954588014935,50.685670899760964,52.60379749291065,73.44712867531486,71.3567889242246,94.69306034588472,64.84969797407975,76.42309010102966,52.714818687475685,63.41122173121789,74.66666666666667,54.0074911397172,63.36885459525316,107.82954279159505,117.60289420331019,83.63622714786234,110.98832253823578,84.068543460838
top_heavy,0.25,-1.075,-0.8115069625001857,-0.746982349095863,-0.6294321471705961,-0.8029759811026334,-0.6353168317993176,-0.14848045411985064,50.685670899760964,48.171784988780125,67.14310379959379,67.85644589570694,86.56548042894178,52.87539680785278,74.04281715433883,43.93210797858399,61.96229295700016,74.66666666666667,54.0074911397172,63.36885459525316,107.82954279159505,99.25579064440882,83.63622714786234,106.6959828023775,84.41815864359813
top_heavy,0.5,-2.075,-1.6313188703811579,-1.388327620719338,-1.265305889847727,-1.601562316807633,-1.2911465493692351,-0.2984804541198507,50.685670899760964,45.8404349513763,64.47100504172454,65.66885722351604,83.12042800153328,48.258917238552336,73.28639839939896,41.72105916062316,61.190465113514044,73.33333333333333,54.0074911397172,63.36885459525316,107.82954279159505,91.76791570622312,83.63622714786234,105.86264617491022,85.34428469088976
top_heavy,0.75,-3.0,-2.4511307782621303,-1.9469328184938277,-1.901179632524858,-2.403810794852677,-1.976194670367112,-0.44848045411985077,50.685670899760964,43.33864433294552,62.0354548389672,63.25664774652202,79.9803501457376,43.60795306801433,72.48131303020847,39.81045167971568,60.13878459373377,74.33333333333333,54.0074911397172,63.36885459525316,107.82954279159505,85.64899006041111,83.63622714786234,105.74785371111078,86.93627025643914
top_heavy,1.0,-3.9,-3.270942686143101,-2.3810197424089408,-2.537053375201988,-3.1944141819629426,-2.693966194264833,-0.5984804541198505,50.685670899760964,41.08862318346984,60.43337822655439,61.881179223790745,77.9148434326219,38.930973725952725,71.43565749884807,38.16082063877623,59.735906799521345,77.33333333333333,54.0074911397172,63.36885459525316,107.82954279159505,78.49243928650273,83.63622714786234,105.30671240045744,88.80899816869541
neutral,-1.0,3.05,3.0497802636835734,3.4427488518265115,2.7204730404712927,3.0788187428180276,2.712507806076127,0.5963749999999991,54.93902622953555,67.64895813503061,54.94298458004214,54.42477911080692,61.593710912516435,53.47118998690767,72.35397245516573,25.61542566288982,55.0777927053885,64.33333333333333,61.58927341246694,72.69936389640365,93.08252648304125,105.07634434867275,83.03172095756678,93.96881164766339,82.78861356049939
neutral,-0.75,2.3,2.3037055533359903,2.5272494866235435,2.054957508140267,2.30484379800076,2.0428168305564873,0.450482421874999,54.93902622953555,64.37312882683162,54.85065578148671,54.82356784331209,61.490205917828014,52.00714304323399,71.74036924940549,25.940922711603527,55.70691791106419,65.66666666666667,61.58927341246694,72.69936389640365,93.08252648304125,102.11494560458647,83.03172095756678,93.12851790282109,82.54117000973503
